Date,Time,Booked By,Device ID,Booked At,Updated At,Reason,Kiosk
2025-10-21,09:00,Test User 5,device_005,2025-10-21 08:30:00,2025-10-21 10:00:00,Completed,no
2025-10-21,10:00,Test User 6,device_006,2025-10-21 09:30:00,2025-10-21 11:00:00,Completed,no
2025-10-21,09:00,Zoey Hughes,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:08:31.044914,2025-10-20T18:08:31.045067,booked,no
2025-10-21,09:15,Luke Griffin,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:08:38.682727,2025-10-20T18:08:38.682803,booked,no
2025-10-21,09:30,Aiden Kelly,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:08:43.321517,2025-10-20T18:08:43.321607,booked,no
2025-10-21,09:45,Henry Wang,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:08:57.814064,2025-10-20T18:08:57.814200,booked,no
2025-10-21,10:00,Frank Cheung,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:09:18.302104,2025-10-20T18:09:18.302187,booked,no
2025-10-21,10:15,Frank Cheung,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:09:23.808065,2025-10-20T18:09:23.808213,booked,no
2025-10-21,10:30,Ronald Wong,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:09:58.042534,2025-10-20T18:09:58.042618,booked,no
2025-10-21,10:30,Ronald Wong,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:09:58.042534,2025-10-20T18:11:14.020888,cancelled,no
2025-10-21,10:30,Ronald Wong,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:38:16.528647,2025-10-20T18:38:16.528742,booked,yes,no
2025-10-21,10:15,Frank Cheung,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:09:23.808065,2025-10-20T18:42:20.794051,cancelled,no
2025-10-21,10:00,Frank Cheung,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:09:18.302104,2025-10-20T18:42:22.907584,cancelled,no
2025-10-21,09:00,Zoey Hughes,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:08:31.044914,2025-10-20T18:42:24.028217,cancelled,no
2025-10-21,09:15,Luke Griffin,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:08:38.682727,2025-10-20T18:42:25.555989,cancelled,no
2025-10-21,09:30,Aiden Kelly,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:08:43.321517,2025-10-20T18:42:26.879692,cancelled,no
2025-10-21,09:45,Henry Wang,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:08:57.814064,2025-10-20T18:42:28.089151,cancelled,no
2025-10-21,09:00,Ava Carter,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:42:32.707452,2025-10-20T18:42:32.707517,booked,yes
2025-10-21,09:15,Mason Hill,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:42:36.077989,2025-10-20T18:42:36.078087,booked,yes
2025-10-21,09:30,Zoey Phillips,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:42:40.540353,2025-10-20T18:42:40.540432,booked,yes
2025-10-21,09:45,Ethan Brooks,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:42:56.761361,2025-10-20T18:42:56.761466,booked,no
2025-10-21,09:45,Ethan Brooks,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:42:56.761361,2025-10-20T18:43:44.394783,cancelled,no
2025-10-21,09:45,Sophia Rivera,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:43:52.260112,2025-10-20T18:43:52.260239,booked,yes
2025-10-21,09:45,Sophia Rivera,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:43:52.260112,2025-10-20T18:44:07.623830,cancelled,yes
2025-10-21,09:30,Zoey Phillips,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:42:40.540353,2025-10-20T18:44:09.407476,cancelled,yes
2025-10-21,09:15,Mason Hill,device_1760545360241_rw5ow1kna_TW96aWxsYS,2025-10-20T18:42:36.077989,2025-10-20T18:44:10.623845,cancelled,yes
